2020-04-25	Brighton & Hove Albion	Manchester City									
2020-04-25	Liverpool	Burnley									
2020-04-25	Manchester United	Southampton									
2020-04-25	Norwich City	West Ham United									
2020-04-25	Sheffield United	Chelsea									
2020-04-25	Tottenham Hotspur	Arsenal									
2020-04-25	Watford	Newcastle United									
2020-04-25	Wolverhampton Wanderers	Everton									
2020-05-02	Arsenal	Liverpool									
2020-05-02	Burnley	Wolverhampton Wanderers									
2020-05-02	Chelsea	Norwich City									
2020-05-02	Crystal Palace	Manchester United									
2020-05-02	Everton	Aston Villa									
2020-05-02	Leicester City	Sheffield United									
2020-05-02	Manchester City	Bournemouth									
2020-05-02	Newcastle United	Tottenham Hotspur									
2020-05-02	Southampton	Brighton & Hove Albion									
2020-05-02	West Ham United	Watford									
2020-05-09	Aston Villa	Arsenal									
2020-05-09	Bournemouth	Southampton									
2020-05-09	Brighton & Hove Albion	Newcastle United									
2020-05-09	Liverpool	Chelsea									
2020-05-09	Manchester United	West Ham United									
2020-05-09	Norwich City	Burnley									
2020-05-09	Sheffield United	Everton									
2020-05-09	Tottenham Hotspur	Leicester City									
2020-05-09	Watford	Manchester City									
2020-05-09	Wolverhampton Wanderers	Crystal Palace									
2020-05-17	Arsenal	Watford									
2020-05-17	Burnley	Brighton & Hove Albion									
2020-05-17	Chelsea	Wolverhampton Wanderers									
2020-05-17	Crystal Palace	Tottenham Hotspur									
2020-05-17	Everton	Bournemouth									
2020-05-17	Leicester City	Manchester United									
2020-05-17	Manchester City	Norwich City									
2020-05-17	Newcastle United	Liverpool									
2020-05-17	Southampton	Sheffield United									
2020-05-17	West Ham United	Aston Villa									
