@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE HomeTotalShots NUMERIC
@ATTRIBUTE AwayTotalShots NUMERIC
@ATTRIBUTE HomeShotsTarget NUMERIC
@ATTRIBUTE AwayShotsTarget NUMERIC
@ATTRIBUTE HomeTotalShotsAgst NUMERIC
@ATTRIBUTE AwayTotalShotsAgst NUMERIC
@ATTRIBUTE HomeShotsTargetAgst NUMERIC
@ATTRIBUTE AwayShotsTargetAgst NUMERIC
@ATTRIBUTE HomePossession NUMERIC
@ATTRIBUTE AwayPossession NUMERIC
@ATTRIBUTE HomeExpectedWin NUMERIC
@ATTRIBUTE AwayExpectedWin NUMERIC
@ATTRIBUTE HomeTrend NUMERIC
@ATTRIBUTE AwayTrend NUMERIC
@ATTRIBUTE HomeWeightedPoints NUMERIC
@ATTRIBUTE AwayWeightedPoints NUMERIC
@ATTRIBUTE ChanceCreationHome NUMERIC
@ATTRIBUTE ChanceCreationAway NUMERIC
@ATTRIBUTE ShotsAccuracyHome NUMERIC
@ATTRIBUTE ShotsAccuracyAway NUMERIC
@ATTRIBUTE ScoringRateHome NUMERIC
@ATTRIBUTE ScoringRateAway NUMERIC
@ATTRIBUTE KeeperStrengthHome NUMERIC
@ATTRIBUTE KeeperStrengthAway NUMERIC
@ATTRIBUTE Round NUMERIC
@ATTRIBUTE Winner {H, D, A}
@ATTRIBUTE Over2.5 {True, False}
@data
0.86,0.15,0.16,0.1,0.03,0.17,0.18,0.07,0.12,0.08,0.03,0.03,0.11,0.08,0.08,0.13,0.13,0,0.03,0.13,0.08,0.08,0.04,0.04,0.08,0.1,0.03,0.04,0.58,0.52,0.37,0.45,0,0,0.603,0.343,0.075,0.063,0.02,0.023,0.033,0.044,0.098,0.08,0.19,H,True
0.16,0.86,0.09,0.19,0.17,0.17,0.09,0.18,0.12,0.13,0.2,0.1,0.11,0.14,0.2,0.07,0.17,0.07,0.17,0.11,0.08,0.08,0.04,0.04,0.09,0.08,0.04,0.03,0.52,0.58,0.30,0.37,0.01,0,0.319,0.705,0.061,0.075,0.023,0.02,0.031,0.029,0.044,0.123,0.15,H,True
0.16,0.29,0.10,0.16,0.07,0.23,0.11,0.16,0.11,0.15,0,0.17,0.11,0.14,0.17,0.12,0.07,0.07,0.14,0.11,0.08,0.11,0.04,0.05,0.09,0.1,0.04,0.04,0.52,0.48,0.30,0.27,0,0.02,0.411,0.829,0.061,0.044,0.023,0.022,0.034,0.033,0.052,0.084,0.2,A,True
0.16,0.06,0.1,0.11,0.03,0.2,0.1,0.07,0.11,0.11,0.03,0.13,0.11,0.11,0.18,0.17,0.17,0.1,0.16,0.23,0.08,0.08,0.04,0.03,0.09,0.1,0.04,0.05,0.52,0.46,0.30,0.27,-0.01,-0.01,0.391,0.337,0.061,0.054,0.023,0.024,0.034,0.03,0.05,0.06,0.21,H,True
0.16,0.22,0.11,0.17,0.3,0.23,0.11,0.2,0.13,0.14,0.17,0.13,0.12,0.14,0.19,0.09,0.07,0.07,0.16,0.09,0.08,0.09,0.04,0.04,0.09,0.1,0.04,0.05,0.52,0.46,0.30,0.27,0.03,0.02,0.451,0.565,0.061,0.049,0.023,0.023,0.029,0.03,0.047,0.11,0.17,D,False
0.16,0.44,0.07,0.15,0.03,0.23,0.08,0.15,0.11,0.18,0.07,0.37,0.08,0.13,0.21,0.12,0.17,0.1,0.15,0.08,0.08,0.09,0.04,0.05,0.09,0.1,0.04,0.05,0.52,0.52,0.30,0.35,0,0.01,0.133,0.501,0.061,0.057,0.023,0.02,0.035,0.025,0.042,0.085,0.13,D,True
0.16,1.01,0.12,0.17,0.2,0.13,0.13,0.14,0.12,0.17,0.2,0.13,0.13,0.09,0.16,0.11,0.2,0.03,0.15,0.1,0.08,0.12,0.04,0.06,0.09,0.07,0.04,0.03,0.52,0.57,0.30,0.34,-0.01,-0.01,0.357,0.389,0.061,0.049,0.023,0.021,0.03,0.032,0.054,0.066,0.305,A,True
0.16,0.56,0.12,0.19,0.23,0.07,0.12,0.18,0.12,0.15,0.2,0,0.13,0.18,0.16,0.09,0.07,0.03,0.14,0.12,0.08,0.11,0.04,0.06,0.09,0.09,0.04,0.04,0.52,0.59,0.30,0.45,0.01,0,0.38,0.626,0.061,0.053,0.023,0.02,0.031,0.037,0.054,0.094,0.24,A,False
0.16,0.15,0.11,0.13,0.13,0,0.11,0.12,0.12,0.1,0.1,0,0.12,0.08,0.16,0.12,0.13,0.3,0.15,0.14,0.08,0.09,0.04,0.03,0.09,0.1,0.04,0.05,0.52,0.5,0.30,0.36,-0.01,-0.03,0.365,0.556,0.061,0.058,0.023,0.025,0.032,0.035,0.053,0.082,0.25,A,True
0.16,0.27,0.11,0.15,0.03,0.2,0.1,0.13,0.11,0.13,0.03,0.1,0.12,0.08,0.16,0.1,0.17,0.07,0.16,0.08,0.08,0.1,0.04,0.04,0.09,0.09,0.04,0.04,0.52,0.5,0.30,0.54,0,-0.01,0.344,0.468,0.061,0.047,0.023,0.024,0.034,0.034,0.054,0.09,0.27,H,False
0.16,0.9,0.12,0.16,0.1,0.13,0.12,0.15,0.12,0.16,0.07,0.23,0.12,0.16,0.17,0.14,0.27,0.17,0.17,0.14,0.08,0.11,0.04,0.05,0.09,0.08,0.04,0.04,0.52,0.57,0.30,0.3,0.01,0.01,0.342,0.539,0.061,0.051,0.023,0.021,0.031,0.033,0.052,0.057,0.32,A,True
0.16,0.18,0.07,0.06,0,0.13,0.1,0.02,0.11,0.11,0.07,0.2,0.1,0.02,0.22,0.2,0.4,0.17,0.16,0.26,0.08,0.08,0.04,0.04,0.09,0.1,0.04,0.05,0.52,0.47,0.30,0.45,-0.03,0,0.144,0.212,0.061,0.059,0.023,0.02,0.034,0.037,0.04,0.052,0.11,A,False
0.16,0.15,0.12,0.11,0.23,0.2,0.11,0.09,0.12,0.1,0.17,0.13,0.12,0.1,0.16,0.13,0.03,0.1,0.15,0.14,0.08,0.08,0.04,0.04,0.09,0.1,0.04,0.04,0.52,0.52,0.30,0.45,0.02,0.02,0.366,0.362,0.061,0.063,0.023,0.023,0.031,0.038,0.057,0.079,0.29,H,True
0.29,0.22,0.17,0.11,0.23,0.03,0.19,0.14,0.16,0.11,0.2,0.1,0.16,0.11,0.12,0.13,0.13,0.17,0.1,0.13,0.11,0.09,0.05,0.04,0.1,0.1,0.04,0.05,0.48,0.46,0.27,0.27,0,-0.02,0.776,0.338,0.044,0.049,0.022,0.023,0.032,0.038,0.083,0.078,0.3,D,True
0.29,0.07,0.16,0.06,0.13,0.17,0.16,0.05,0.16,0.08,0.2,0.07,0.16,0.08,0.12,0.16,0.17,0.03,0.13,0.2,0.11,0.07,0.05,0.03,0.1,0.1,0.04,0.05,0.48,0.47,0.27,0.30,0,0,0.786,0.147,0.044,0.063,0.022,0.025,0.032,0.038,0.079,0.063,0.23,H,False
0.29,0.83,0.16,0.2,0.13,0.3,0.18,0.2,0.15,0.18,0.1,0.17,0.16,0.18,0.12,0.08,0.1,0.07,0.11,0.08,0.11,0.13,0.05,0.07,0.1,0.07,0.04,0.03,0.48,0.57,0.27,0.33,0.01,0.06,0.689,0.588,0.044,0.045,0.022,0.019,0.033,0.037,0.084,0.095,0.27,H,False
0.29,0.44,0.18,0.14,0.2,0.1,0.14,0.16,0.2,0.17,0.17,0.23,0.2,0.14,0.14,0.14,0.13,0.23,0.18,0.08,0.11,0.09,0.05,0.05,0.1,0.1,0.04,0.05,0.48,0.52,0.27,0.35,-0.01,0.01,1.03,0.546,0.044,0.057,0.022,0.02,0.025,0.027,0.071,0.077,0.11,D,False
0.29,1.01,0.16,0.20,0.2,0.23,0.16,0.15,0.16,0.2,0.2,0.2,0.16,0.1,0.12,0.1,0.1,0.03,0.12,0.09,0.11,0.12,0.05,0.06,0.1,0.07,0.04,0.03,0.48,0.57,0.27,0.34,-0.01,0.01,0.776,0.495,0.044,0.049,0.022,0.021,0.032,0.028,0.082,0.075,0.22,D,True
0.29,0.1,0.16,0.13,0.03,0.1,0.13,0.17,0.18,0.09,0.07,0.13,0.18,0.05,0.15,0.13,0.23,0.2,0.17,0.07,0.11,0.08,0.05,0.03,0.1,0.1,0.04,0.04,0.48,0.4,0.27,0.34,-0.01,0.01,0.905,0.246,0.044,0.053,0.022,0.026,0.027,0.031,0.063,0.075,0.13,D,False
0.29,0.16,0.16,0.12,0.1,0.13,0.18,0.13,0.16,0.1,0.23,0.07,0.17,0.11,0.13,0.11,0.23,0.17,0.12,0.14,0.11,0.08,0.05,0.04,0.1,0.1,0.04,0.05,0.48,0.45,0.27,0.36,0,0.01,0.739,0.316,0.044,0.054,0.022,0.023,0.03,0.039,0.076,0.092,0.33,H,True
0.29,0.56,0.16,0.19,0.17,0.23,0.18,0.18,0.16,0.17,0.23,0.27,0.16,0.18,0.12,0.1,0.2,0.07,0.11,0.12,0.11,0.11,0.05,0.06,0.1,0.09,0.04,0.04,0.48,0.59,0.27,0.45,0,0.02,0.758,0.618,0.044,0.053,0.022,0.02,0.031,0.034,0.081,0.089,0.31,D,True
0.29,0.08,0.15,0.09,0.13,0.13,0.17,0.06,0.15,0.12,0.13,0.13,0.17,0.13,0.12,0.19,0.1,0.13,0.12,0.28,0.11,0.08,0.05,0.04,0.1,0.11,0.04,0.06,0.48,0.41,0.27,0.45,0,0.01,0.706,0.247,0.044,0.048,0.022,0.023,0.032,0.03,0.081,0.059,0.26,H,False
0.29,0.15,0.15,0.15,0.07,0.2,0.13,0.15,0.17,0.09,0.07,0.1,0.17,0.08,0.14,0.09,0.17,0.07,0.16,0.09,0.11,0.09,0.05,0.03,0.1,0.1,0.04,0.05,0.48,0.5,0.27,0.36,0,0.01,0.848,0.599,0.044,0.058,0.022,0.025,0.03,0.039,0.069,0.109,0.15,D,False
0.29,0.27,0.14,0.13,0.1,0.1,0.12,0.12,0.14,0.14,0.03,0.13,0.15,0.1,0.12,0.12,0.03,0.1,0.14,0.1,0.11,0.1,0.05,0.04,0.1,0.09,0.04,0.04,0.48,0.5,0.27,0.54,0,0.01,0.727,0.411,0.044,0.047,0.022,0.024,0.034,0.032,0.079,0.074,0.18,H,True
0.29,0.9,0.15,0.16,0.17,0.2,0.14,0.15,0.15,0.12,0.1,0.07,0.16,0.11,0.12,0.12,0.07,0.1,0.13,0.11,0.11,0.11,0.05,0.05,0.1,0.08,0.04,0.04,0.48,0.57,0.27,0.3,0.01,0.02,0.731,0.565,0.044,0.051,0.022,0.021,0.034,0.046,0.08,0.066,0.19,H,False
0.06,0.29,0.09,0.16,0,0.13,0.12,0.15,0.11,0.15,0.13,0.13,0.13,0.14,0.19,0.12,0.33,0.1,0.15,0.12,0.08,0.11,0.03,0.05,0.1,0.1,0.05,0.04,0.46,0.48,0.27,0.27,-0.05,-0.01,0.283,0.732,0.054,0.044,0.024,0.022,0.031,0.033,0.052,0.083,0.25,D,True
0.06,0.07,0.09,0.04,0.13,0.07,0.11,0.06,0.11,0.08,0.1,0.07,0.11,0.1,0.18,0.18,0.17,0.13,0.12,0.21,0.08,0.07,0.03,0.03,0.1,0.1,0.05,0.05,0.46,0.47,0.27,0.30,-0.01,0,0.337,0.128,0.054,0.063,0.024,0.025,0.031,0.036,0.056,0.058,0.18,H,False
0.06,0.83,0.1,0.18,0,0.2,0.14,0.18,0.12,0.18,0.17,0.23,0.14,0.17,0.19,0.08,0.37,0.1,0.14,0.09,0.08,0.13,0.03,0.07,0.1,0.07,0.05,0.03,0.46,0.57,0.27,0.33,-0.03,0.02,0.308,0.511,0.054,0.045,0.024,0.019,0.028,0.037,0.053,0.089,0.23,A,True
0.06,0.44,0.09,0.15,0.03,0.17,0.11,0.14,0.11,0.19,0.03,0.27,0.11,0.16,0.18,0.13,0.13,0.13,0.13,0.11,0.08,0.09,0.03,0.05,0.1,0.1,0.05,0.05,0.46,0.52,0.27,0.35,-0.01,0,0.204,0.459,0.054,0.057,0.024,0.02,0.031,0.025,0.056,0.079,0.15,D,False
0.06,1.01,0.08,0.18,0,0.1,0.11,0.15,0.11,0.19,0.03,0.17,0.14,0.1,0.19,0.11,0.13,0.17,0.16,0.11,0.08,0.12,0.03,0.06,0.1,0.07,0.05,0.03,0.46,0.57,0.27,0.34,-0.03,0.01,0.254,0.415,0.054,0.049,0.024,0.021,0.032,0.03,0.054,0.064,0.285,D,False
0.06,0.56,0.09,0.2,0.1,0.13,0.12,0.21,0.12,0.18,0.07,0.17,0.12,0.21,0.18,0.08,0.1,0.1,0.13,0.1,0.08,0.11,0.03,0.06,0.1,0.09,0.05,0.04,0.46,0.59,0.27,0.45,-0.01,-0.01,0.192,0.705,0.054,0.053,0.024,0.02,0.028,0.032,0.054,0.102,0.13,D,False
0.06,0.08,0.09,0.08,0.2,0.07,0.12,0.06,0.11,0.11,0.13,0.03,0.14,0.12,0.17,0.18,0.1,0.1,0.15,0.24,0.08,0.08,0.03,0.04,0.1,0.11,0.05,0.06,0.46,0.41,0.27,0.45,-0.01,-0.01,0.279,0.224,0.054,0.048,0.024,0.023,0.033,0.033,0.058,0.064,0.325,A,True
0.06,0.87,0.09,0.13,0.03,0.23,0.12,0.12,0.11,0.15,0.07,0.27,0.14,0.11,0.19,0.14,0.17,0.1,0.15,0.12,0.08,0.1,0.03,0.05,0.1,0.09,0.05,0.05,0.46,0.57,0.27,0.34,-0.01,0.02,0.273,0.371,0.054,0.058,0.024,0.021,0.031,0.031,0.053,0.067,0.27,A,True
0.06,0.27,0.10,0.13,0.2,0.1,0.13,0.11,0.12,0.14,0.13,0.17,0.12,0.1,0.17,0.12,0.13,0.13,0.11,0.11,0.08,0.1,0.03,0.04,0.1,0.09,0.05,0.04,0.46,0.5,0.27,0.54,0.01,-0.01,0.33,0.389,0.054,0.047,0.024,0.024,0.03,0.032,0.06,0.072,0.19,H,False
0.06,0.9,0.10,0.14,0.1,0.03,0.15,0.14,0.11,0.11,0.07,0.1,0.12,0.1,0.17,0.13,0.2,0.2,0.1,0.12,0.08,0.11,0.03,0.05,0.1,0.08,0.05,0.04,0.46,0.57,0.27,0.3,-0.02,-0.01,0.322,0.513,0.054,0.051,0.024,0.021,0.032,0.047,0.058,0.06,0.22,A,True
0.06,0.18,0.09,0.08,0.13,0.03,0.11,0.05,0.1,0.1,0.03,0.07,0.13,0.05,0.17,0.18,0.03,0.17,0.15,0.22,0.08,0.08,0.03,0.04,0.1,0.1,0.05,0.05,0.46,0.47,0.27,0.45,0.01,0,0.28,0.34,0.054,0.059,0.024,0.02,0.033,0.042,0.057,0.057,0.305,H,True
0.06,0.15,0.08,0.12,0,0.1,0.08,0.1,0.14,0.11,0.1,0.07,0.12,0.12,0.21,0.14,0.3,0.17,0.16,0.16,0.08,0.08,0.03,0.04,0.1,0.1,0.05,0.04,0.46,0.52,0.27,0.45,-0.04,-0.01,0.187,0.503,0.054,0.063,0.024,0.023,0.025,0.034,0.048,0.074,0.11,H,False
0.33,0.86,0.22,0.21,0.3,0.23,0.22,0.19,0.22,0.15,0.27,0.13,0.22,0.14,0.15,0.07,0.1,0.03,0.18,0.11,0.1,0.08,0.05,0.04,0.09,0.08,0.04,0.03,0.42,0.58,0.43,0.37,0.04,0.02,0.376,0.766,0.041,0.075,0.022,0.02,0.022,0.026,0.06,0.12,0.13,D,False
0.33,0.16,0.20,0.10,0.13,0.13,0.2,0.1,0.2,0.12,0.1,0.07,0.18,0.12,0.13,0.18,0.1,0.1,0.14,0.21,0.1,0.08,0.05,0.04,0.09,0.09,0.04,0.04,0.42,0.52,0.43,0.30,0,-0.01,0.585,0.415,0.041,0.061,0.022,0.023,0.024,0.032,0.07,0.049,0.19,D,False
0.33,0.29,0.22,0.16,0.3,0.1,0.22,0.15,0.17,0.16,0.13,0.23,0.16,0.16,0.09,0.12,0,0.23,0.09,0.13,0.1,0.11,0.05,0.05,0.09,0.1,0.04,0.04,0.42,0.48,0.43,0.27,0.05,0,0.697,0.751,0.041,0.044,0.022,0.022,0.027,0.031,0.099,0.077,0.325,D,True
0.33,0.06,0.20,0.09,0.2,0.03,0.21,0.06,0.18,0.12,0.2,0.07,0.18,0.09,0.11,0.19,0.1,0.23,0.11,0.23,0.1,0.08,0.05,0.03,0.09,0.1,0.04,0.05,0.42,0.46,0.43,0.27,-0.01,0,0.77,0.283,0.041,0.054,0.022,0.024,0.025,0.03,0.083,0.052,0.26,H,False
0.33,1.01,0.21,0.19,0.2,0.2,0.21,0.14,0.21,0.21,0.17,0.23,0.2,0.1,0.14,0.11,0.13,0.13,0.16,0.1,0.1,0.12,0.05,0.06,0.09,0.07,0.04,0.03,0.42,0.57,0.43,0.34,-0.01,0.01,0.562,0.499,0.041,0.049,0.022,0.021,0.023,0.027,0.067,0.064,0.18,D,False
0.33,0.1,0.21,0.13,0.2,0.2,0.22,0.12,0.18,0.1,0.17,0.13,0.17,0.07,0.11,0.13,0.1,0.1,0.1,0.11,0.1,0.08,0.05,0.03,0.09,0.1,0.04,0.04,0.42,0.4,0.43,0.34,0.01,0.02,0.748,0.342,0.041,0.053,0.022,0.026,0.026,0.029,0.087,0.078,0.27,D,True
0.33,0.16,0.2,0.14,0.23,0.2,0.2,0.16,0.21,0.09,0.2,0.13,0.22,0.14,0.17,0.09,0.13,0.1,0.2,0.12,0.1,0.08,0.05,0.04,0.09,0.1,0.04,0.05,0.42,0.45,0.43,0.36,0.02,0.02,0.351,0.296,0.041,0.054,0.022,0.023,0.023,0.041,0.054,0.113,0.11,H,True
0.33,0.87,0.21,0.1,0.23,0.13,0.2,0.07,0.21,0.11,0.23,0.03,0.2,0.1,0.14,0.16,0.03,0.03,0.17,0.19,0.1,0.1,0.05,0.05,0.09,0.09,0.04,0.05,0.42,0.57,0.43,0.34,0.01,-0.01,0.412,0.237,0.041,0.058,0.022,0.021,0.022,0.041,0.066,0.058,0.15,H,True
0.33,0.15,0.2,0.15,0.17,0.13,0.19,0.14,0.18,0.11,0.07,0.13,0.16,0.1,0.12,0.1,0.03,0.1,0.13,0.11,0.1,0.09,0.05,0.03,0.09,0.1,0.04,0.05,0.42,0.5,0.43,0.36,0,0,0.63,0.631,0.041,0.058,0.022,0.025,0.027,0.031,0.079,0.102,0.22,H,True
0.33,0.27,0.21,0.15,0.3,0.23,0.21,0.13,0.17,0.13,0.1,0.2,0.17,0.09,0.1,0.1,0,0.13,0.1,0.09,0.1,0.1,0.05,0.04,0.09,0.09,0.04,0.04,0.42,0.5,0.43,0.54,0.03,0.02,0.709,0.512,0.041,0.047,0.022,0.024,0.027,0.033,0.093,0.084,0.31,H,False
0.33,0.9,0.20,0.15,0.23,0.13,0.2,0.15,0.18,0.13,0.17,0.27,0.17,0.13,0.11,0.14,0.03,0.27,0.12,0.14,0.1,0.11,0.05,0.05,0.09,0.08,0.04,0.04,0.42,0.57,0.43,0.3,0.01,0.01,0.622,0.499,0.041,0.051,0.022,0.021,0.026,0.041,0.082,0.055,0.23,H,False
0.33,0.18,0.21,0.09,0.23,0,0.21,0.05,0.18,0.1,0.13,0.07,0.17,0.05,0.11,0.19,0.07,0.3,0.11,0.23,0.1,0.08,0.05,0.04,0.09,0.1,0.04,0.05,0.42,0.47,0.43,0.45,0.01,-0.03,0.718,0.361,0.041,0.059,0.022,0.02,0.026,0.04,0.087,0.055,0.285,H,False
0.22,0.16,0.14,0.11,0,0.13,0.12,0.1,0.1,0.12,0.03,0.17,0.11,0.11,0.12,0.16,0.27,0.13,0.12,0.18,0.09,0.08,0.04,0.04,0.1,0.09,0.05,0.04,0.46,0.52,0.27,0.30,-0.04,0,0.431,0.369,0.049,0.061,0.023,0.023,0.04,0.032,0.088,0.053,0.23,A,True
0.22,0.06,0.11,0.10,0.03,0.23,0.09,0.07,0.11,0.11,0.1,0.13,0.1,0.08,0.14,0.18,0.17,0.07,0.14,0.2,0.09,0.08,0.04,0.03,0.1,0.1,0.05,0.05,0.46,0.46,0.27,0.27,0,0.02,0.336,0.288,0.049,0.054,0.023,0.024,0.037,0.032,0.076,0.057,0.315,H,False
0.22,0.33,0.11,0.21,0.03,0.23,0.09,0.21,0.11,0.18,0.17,0.13,0.11,0.19,0.13,0.1,0.23,0.07,0.14,0.11,0.09,0.1,0.04,0.05,0.1,0.09,0.05,0.04,0.46,0.42,0.27,0.43,-0.01,0.02,0.349,0.711,0.049,0.041,0.023,0.022,0.037,0.027,0.077,0.09,0.295,A,False
0.22,0.83,0.14,0.18,0,0.13,0.13,0.17,0.11,0.17,0,0.17,0.11,0.16,0.11,0.08,0.27,0.1,0.11,0.09,0.09,0.13,0.04,0.07,0.1,0.07,0.05,0.03,0.46,0.57,0.27,0.33,-0.03,0.01,0.45,0.505,0.049,0.045,0.023,0.019,0.039,0.038,0.095,0.09,0.22,A,True
